,Len,Indices
161,14,"[10238, 15402, 32863, 34300, 35346, 38733, 47753, 48163, 92985, 93555, 93592, 110154, 116944, 116958]"
162,8,"[1283, 16859, 41251, 50053, 60504, 65119, 78180, 118344]"
163,9,"[9785, 48379, 50753, 53823, 86915, 88402, 107493, 117602, 129312]"
164,8,"[18040, 33126, 41398, 58637, 78991, 94870, 112905, 117391]"
165,6,"[1768, 19892, 35708, 42053, 46713, 130994]"
166,11,"[18798, 34719, 43604, 58924, 71154, 80147, 85546, 101876, 106028, 120817, 122568]"
167,6,"[699, 11163, 14305, 55066, 58129, 85124]"
168,12,"[1927, 10392, 12736, 38927, 39891, 44563, 53234, 57716, 85962, 87802, 93385, 132423]"
169,7,"[8021, 24508, 33521, 71499, 76470, 95973, 104138]"
170,4,"[48917, 64529, 120322, 133149]"
171,9,"[11845, 32714, 33772, 35537, 57787, 59992, 82563, 109811, 124771]"
172,17,"[5540, 9494, 11089, 31171, 32845, 39077, 40616, 59234, 72939, 93324, 95741, 108296, 109583, 110272, 121841, 124382, 132051]"
173,9,"[43069, 50149, 63374, 68336, 90409, 107995, 108796, 115098, 131521]"
174,13,"[5847, 24625, 32483, 33284, 41156, 51267, 58964, 69220, 73435, 85929, 92838, 95819, 109566]"
175,5,"[9020, 25528, 43529, 64703, 91842]"
176,6,"[1165, 42736, 46030, 68414, 68459, 115140]"
177,4,"[5676, 69047, 103301, 126737]"
178,7,"[20096, 22870, 28139, 79837, 82176, 103108, 113582]"
179,18,"[6664, 7186, 24347, 26293, 36793, 45307, 59683, 62703, 76930, 81494, 86291, 89620, 90108, 96434, 96443, 111338, 122223, 122242]"
180,4,"[12004, 12469, 58730, 111025]"
181,15,"[5984, 15492, 23496, 27514, 33094, 37672, 54305, 59549, 78423, 84919, 86244, 94731, 96205, 106387, 112040]"
182,13,"[19028, 29750, 30157, 38743, 38771, 41571, 92255, 107905, 108210, 115578, 123095, 125931, 128330]"
183,6,"[9724, 21237, 25949, 50294, 84814, 93111]"
184,11,"[8166, 18399, 24791, 31851, 35819, 50234, 65385, 103246, 114078, 116103, 116198]"
185,9,"[4384, 21967, 52785, 54017, 57453, 69060, 77560, 82637, 87354]"
